URL,Title,Author,Reading_Level,EBook_No.,Language,Most_Recently_Updated
https://books.flotwiskunde.nl/ebooks/98.html,A Tale of Two Cities,"Dickens, Charles, 1812-1870",Reading ease score: 78.2 (7th grade). Fairly easy to read.,98,English,"Mar 31, 2021"
https://books.flotwiskunde.nl/ebooks/345.html,Dracula,"Stoker, Bram, 1847-1912",Reading ease score: 86.3 (6th grade). Easy to read.,345,English,"Sep 24, 2025"
https://books.flotwiskunde.nl/ebooks/74.html,"The Adventures of Tom Sawyer, Complete","Twain, Mark, 1835-1910",Reading ease score: 81.2 (6th grade). Easy to read.,74,English,"May 10, 2025"
https://books.flotwiskunde.nl/ebooks/28054.html,The Brothers Karamazov,"Dostoyevsky, Fyodor, 1821-1881",Reading ease score: 82.0 (6th grade). Easy to read.,28054,English,"Jan 22, 2023"
https://books.flotwiskunde.nl/ebooks/76.html,Adventures of Huckleberry Finn,"Twain, Mark, 1835-1910",Reading ease score: 85.9 (6th grade). Easy to read.,76,English,"Jun 14, 2025"
https://books.flotwiskunde.nl/ebooks/1661.html,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930",Reading ease score: 80.6 (6th grade). Easy to read.,1661,English,"Oct 10, 2023"
https://books.flotwiskunde.nl/ebooks/1998.html,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm, 1844-1900",Reading ease score: 80.1 (6th grade). Easy to read.,1998,English,"Apr 10, 2023"
https://books.flotwiskunde.nl/ebooks/25344.html,The Scarlet Letter,"Hawthorne, Nathaniel, 1804-1864",Reading ease score: 65.0 (8th & 9th grade). Neither easy nor difficult to read.,25344,English,"Aug 9, 2025"
https://books.flotwiskunde.nl/ebooks/1952.html,The Yellow Wallpaper,"Gilman, Charlotte Perkins, 1860-1935",Reading ease score: 89.5 (6th grade). Easy to read.,1952,English,"Aug 31, 2024"
https://books.flotwiskunde.nl/ebooks/3207.html,Leviathan,"Hobbes, Thomas, 1588-1679",Reading ease score: 49.6 (College-level). Difficult to read.,3207,English,"Sep 17, 2025"
https://books.flotwiskunde.nl/ebooks/6130.html,The Iliad,"Homer, 751? BCE-651? BCE",Reading ease score: 71.6 (7th grade). Fairly easy to read.,6130,English,"Jan 18, 2026"
https://books.flotwiskunde.nl/ebooks/1400.html,Great Expectations,"Dickens, Charles, 1812-1870",Reading ease score: 77.1 (7th grade). Fairly easy to read.,1400,English,"Dec 17, 2024"
https://books.flotwiskunde.nl/ebooks/1232.html,The Prince,"Machiavelli, NiccolÃ², 1469-1527",Reading ease score: 50.0 (10th to 12th grade). Somewhat difficult to read.,1232,English,"Jul 1, 2022"
https://books.flotwiskunde.nl/ebooks/205.html,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David, 1817-1862",Reading ease score: 68.3 (8th & 9th grade). Neither easy nor difficult to read.,205,English,"Jan 16, 2026"
https://books.flotwiskunde.nl/ebooks/2591.html,Grimms' Fairy Tales,"Grimm, Wilhelm, 1786-1859",Reading ease score: 81.8 (6th grade). Easy to read.,2591,English,"Jun 28, 2021"
https://books.flotwiskunde.nl/ebooks/46.html,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles, 1812-1870",Reading ease score: 80.0 (6th grade). Easy to read.,46,English,"Nov 13, 2021"
https://books.flotwiskunde.nl/ebooks/2600.html,War and Peace,"Tolstoy, Leo, graf, 1828-1910",Reading ease score: 78.3 (7th grade). Fairly easy to read.,2600,English,"Jun 14, 2022"
https://books.flotwiskunde.nl/ebooks/3206.html,Moby Multiple Language Lists of Common Words,"Ward, Grady, 1951-",Reading ease score: 70.4 (7th grade). Fairly easy to read.,3206,English,"Aug 28, 2025"
